,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneA08_cell1494.0,0.0,,
U54-TMA-9_sceneA08_cell1497.0,0.0,,
U54-TMA-9_sceneA08_cell1500.0,0.0,,
U54-TMA-9_sceneA08_cell1503.0,0.0,,
U54-TMA-9_sceneA08_cell1504.0,0.0,,
U54-TMA-9_sceneA08_cell1516.0,0.0,,
U54-TMA-9_sceneA08_cell1526.0,,0.0,
U54-TMA-9_sceneA08_cell1529.0,0.0,,
U54-TMA-9_sceneA08_cell1537.0,0.0,,
U54-TMA-9_sceneA08_cell1548.0,0.0,,
U54-TMA-9_sceneA08_cell1555.0,0.0,,
U54-TMA-9_sceneA08_cell1557.0,0.0,,
U54-TMA-9_sceneA08_cell1567.0,0.0,,
U54-TMA-9_sceneA08_cell1570.0,1.0,,
U54-TMA-9_sceneA08_cell1595.0,0.0,,
U54-TMA-9_sceneA08_cell1600.0,0.0,,
